bucket,reason,source,path,size,mtime,ext,name
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\a53d3359-5033-4488-9b4b-5bcbe37e5764.jsonl,27757,2026-03-15T07:00:48,.jsonl,a53d3359-5033-4488-9b4b-5bcbe37e5764.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\daf89d50-06d7-4869-81ab-a7d4f562b0be.jsonl,40411,2026-03-19T13:50:55,.jsonl,daf89d50-06d7-4869-81ab-a7d4f562b0be.jsonl
ARCHIVE,agent session jsonl older than 30 days (50d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\dc83b79e-86f1-4bf3-8713-98ce1dbad183.jsonl,1790,2026-03-15T13:10:01,.jsonl,dc83b79e-86f1-4bf3-8713-98ce1dbad183.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\marketing\sessions\f35e2ed7-d60f-4bc9-88fd-59e1ff1eb49f.jsonl,36350,2026-03-19T13:48:29,.jsonl,f35e2ed7-d60f-4bc9-88fd-59e1ff1eb49f.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\55de411d-9a0c-451a-988f-09c91d52a7ea.jsonl,40407,2026-03-21T18:44:48,.jsonl,55de411d-9a0c-451a-988f-09c91d52a7ea.jsonl
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\56189c65-c167-4087-a7e2-a83544cbb426.jsonl,18653,2026-03-15T09:00:15,.jsonl,56189c65-c167-4087-a7e2-a83544cbb426.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\6301de06-f557-4c60-84bb-723bbb0b3232.jsonl,196632,2026-03-21T18:41:38,.jsonl,6301de06-f557-4c60-84bb-723bbb0b3232.jsonl
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\a41bf4f0-ca35-4bd8-b3ed-0781e17e9dfd.jsonl,141173,2026-03-15T08:41:03,.jsonl,a41bf4f0-ca35-4bd8-b3ed-0781e17e9dfd.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\a4732abe-0030-4f0f-bf9f-3faadf12b578.jsonl,24767,2026-03-21T18:32:15,.jsonl,a4732abe-0030-4f0f-bf9f-3faadf12b578.jsonl
ARCHIVE,agent session jsonl older than 30 days (53d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\a4bc21b7-445c-4649-8f1d-0da5645ff7e1.jsonl,28260,2026-03-12T21:01:13,.jsonl,a4bc21b7-445c-4649-8f1d-0da5645ff7e1.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\bd9ec3a5-d33b-4c0d-a428-8a2af84dc8f0.jsonl,152101,2026-03-19T14:03:54,.jsonl,bd9ec3a5-d33b-4c0d-a428-8a2af84dc8f0.jsonl
ARCHIVE,agent session jsonl older than 30 days (54d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\cb05f6fb-2d7b-4006-bc83-b3ce1a176848.jsonl,5651,2026-03-11T16:49:53,.jsonl,cb05f6fb-2d7b-4006-bc83-b3ce1a176848.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\ccae9514-4eef-49cf-a411-b46d783121cf.jsonl,21769,2026-03-19T14:04:58,.jsonl,ccae9514-4eef-49cf-a411-b46d783121cf.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\cf19e6c0-11ab-4aa0-9b57-809003b57d38.jsonl,35710,2026-03-19T13:44:44,.jsonl,cf19e6c0-11ab-4aa0-9b57-809003b57d38.jsonl
ARCHIVE,agent session jsonl older than 30 days (51d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\sales\sessions\f06e01eb-1536-4b18-be84-379a5b0fee4d.jsonl,36698,2026-03-14T23:41:26,.jsonl,f06e01eb-1536-4b18-be84-379a5b0fee4d.jsonl
ARCHIVE,agent session jsonl older than 30 days (44d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\shared_exec_orchestrator\sessions\2042aff3-8f3e-4431-9607-07062c3dc8a1.jsonl,18581,2026-03-21T18:45:35,.jsonl,2042aff3-8f3e-4431-9607-07062c3dc8a1.jsonl
ARCHIVE,agent session jsonl older than 30 days (46d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\shared_exec_orchestrator\sessions\3c555ad3-13bb-4bc8-91e3-08116a0013c4.jsonl,105930,2026-03-19T13:53:36,.jsonl,3c555ad3-13bb-4bc8-91e3-08116a0013c4.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\shared_master_orchestrator\sessions\0079f952-bd4d-439c-a32d-4302405c2f89.jsonl,76760,2026-03-13T21:08:08,.jsonl,0079f952-bd4d-439c-a32d-4302405c2f89.jsonl
ARCHIVE,agent session jsonl older than 30 days (53d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\shared_master_orchestrator\sessions\030e2122-9e2b-4bcf-aff9-d44278137ba8.jsonl,34477,2026-03-13T10:30:45,.jsonl,030e2122-9e2b-4bcf-aff9-d44278137ba8.jsonl
ARCHIVE,agent session jsonl older than 30 days (52d),LOCAL,C:\Users\JeremiahVanWagner\.openclaw\agents\shared_master_orchestrator\sessions\099b6646-b1cb-45cc-a3d4-876ddb4cb014.jsonl,133275,2026-03-13T18:42:13,.jsonl,099b6646-b1cb-45cc-a3d4-876ddb4cb014.jsonl
